Borough,Total_Population,Pop_Under_5,Pct_Under_5,Pop_65_and_Over,Pct_65_and_Over,Pop_Vulnerable_Total,Pct_Vulnerable_Total,Total_Stations,Accessible_Stations,Accessibility_Rate
Bronx,1443229,99390,6.886640997374636,191647,13.279043034750549,291037,20.165684032125185,68,20,29.411764705882355
Brooklyn,2679620,183126,6.834028705562729,388584,14.501459162120003,571710,21.335487867682733,156,34,21.794871794871796
Manhattan,1645867,73991,4.495563736316482,284256,17.270897344682165,358247,21.766461080998646,121,39,32.231404958677686
Queens,2360826,136843,5.796403462178068,389399,16.494184662486774,526242,22.290588124664843,79,24,30.37974683544304
Staten Island,492925,27117,5.501242582542983,81753,16.5852817365725,108870,22.086524319115483,21,6,28.57142857142857
